feature,importance
Age,0.04802846
loan_burden_score,0.03588664
InterestRate,0.02826595
debt_service_coverage,0.020731455
epf_ppf_balance,0.019503811
age_x_credit_score,0.018318549
MonthsEmployed,0.015029182
HasDependents,0.010881573
HasCoSigner,0.010639523
EmploymentType,0.010263077
emi_to_income_ratio,0.009418396
NumCreditLines,0.008948712
segment_category,0.008877608
Education,0.008756976
HasMortgage,0.00866179
num_dependents,0.008605045
cheque_bounce_count_12m,0.008597764
LoanAmount,0.008183968
computed_dti,0.0074872524
detailed_segment,0.0071132905
salary_credit_day,0.0069961515
employer_risk_multiplier,0.0069728163
CreditScore,0.0069726896
MaritalStatus,0.0068890234
total_monthly_expense,0.0067427554
salary_increment_pct_yoy,0.0065964162
partial_payment_count_12m,0.006585285
LoanPurpose,0.0065219435
total_debt_to_assets,0.006236024
health_insurance_coverage,0.0059742006
eci,0.005928631
Income,0.005872472
sdt,0.0057281647
emi_to_savings_ratio,0.0056878575
employer_health_score,0.0056040166
peer_default_rate,0.005467797
total_outstanding_debt,0.0053599905
property_loan_outstanding,0.0053033032
DTIRatio,0.005293625
gender,0.0052463454
parent_income_monthly,0.0052140104
settlement_history,0.00516675
variable_pay_pct,0.0051538446
wallet_to_bank_frequency,0.005147688
pharmacy_expense_monthly,0.0051265275
family_transfer_monthly,0.0050881165
rental_income_monthly,0.0050719106
supplier_payment_delay_days,0.0050671105
institution_ranking,0.005000058
cash_deposit_avg_amount,0.0049932394
credit_score_x_dti,0.0049790563
asset_to_debt_ratio,0.004932163
cash_deposit_before_emi_days,0.004896358
num_two_wheelers,0.0048793973
salary_delay_days,0.0048628114
property_value_total,0.004858233
merchant_downgrade_score,0.0048428406
income_per_dependent,0.0048251883
bounce_per_credit_line,0.004776983
expected_starting_salary,0.004774717
wallet_velocity,0.0047721583
industry_stress_index,0.004757281
gpa,0.0047520585
pf_contribution_regular,0.0047394126
customer_concentration_risk,0.0047253147
credit_lines_per_year,0.0047239545
num_employees,0.004706521
working_capital_days,0.0046833265
platform_daily_earning_avg,0.004675542
revenue_variance_cv,0.0046629985
employer_stock_change_pct,0.004638334
vehicle_age_years,0.004632621
fuel_expense_monthly,0.004584683
food_delivery_monthly,0.004581138
monthly_revenue,0.0045772283
healthcare_current_spend,0.0045622364
healthcare_spike_ratio,0.0045619546
income_stability_index,0.004546319
net_worth,0.0045302897
zero_income_days_month,0.004528969
profit_margin_pct,0.0045257085
credit_score_x_util,0.0045241006
financial_cushion_months,0.0045154216
manual_payment_pct,0.0044713765
dining_out_monthly,0.004470049
ott_monthly_spend,0.004447123
ontime_payment_rate_12m,0.0044409605
auto_debit_x_ontime,0.004430248
mutual_fund_value,0.0044223
num_bank_accounts,0.0044039525
app_login_frequency_month,0.0043721325
expense_insurance_investments,0.0043716524
LoanTerm,0.0043675248
scholarship_amount_monthly,0.0043451614
expense_education,0.0043257694
monthly_pension,0.004321254
min_balance_violations_6m,0.0043172184
expense_transportation,0.004303629
cab_expense_monthly,0.004299777
business_vintage_years,0.0042917593
evs,0.0042916257
evs_ratio,0.0042865486
peak_to_offpeak_ratio,0.004275839
expense_healthcare,0.0042684083
liquidity_ratio,0.004264429
expense_to_income_ratio,0.0042580566
moratorium_months_remaining,0.004252857
expense_housing,0.0042508203
fd_rd_interest_monthly,0.0042406498
app_login_duration_avg_sec,0.004229823
cash_deposit_consistency_score,0.004225431
payment_day_consistency,0.0042222734
credit_inquiries_6m,0.004211865
behavioral_risk_score,0.004211032
grocery_online_pct,0.004209373
expense_food_groceries,0.0042084754
cash_sufficiency_ratio,0.004205496
income_stability_x_dti,0.0042049824
expense_communication,0.0042027337
auto_debit_success_rate,0.004199587
avg_monthly_balance_6m,0.004190389
platform_rating,0.004188187
shopping_monthly,0.0041849324
emi_calculator_usage_30d,0.0041794144
expense_discretionary_vices,0.004172997
cash_deposit_frequency_month,0.0041703377
loan_inquiry_page_visits,0.0041661924
abt,0.0041607926
platform_active_days_month,0.004144648
income_cv_daily,0.0041398345
credit_utilization_ratio,0.0041274787
avg_delay_days,0.004123688
cash_to_digital_ratio,0.004122971
savings_rate_pct,0.0041196914
expense_lifestyle_entertainment,0.004115205
savings_rate,0.004114162
isi,0.0041132136
oldest_credit_line_years,0.0041092695
mobile_stability_years,0.004108938
ott_subscriptions_count,0.0041033793
total_financial_assets,0.0041000154
expense_personal_care,0.0040715206
dsr,0.004057991
cab_rides_monthly,0.0040235147
digital_engagement_score,0.0039602364
stock_portfolio_value,0.003943801
payment_channel,0.003938491
years_at_current_address,0.003931934
expense_family_social,0.003925467
gold_value,0.0039189938
password_resets_30d,0.0038938473
campus_placement_rate,0.003877814
city_tier,0.0038669065
num_dpd_30_plus,0.0038476319
notification_dismiss_speed_sec,0.0038447296
vehicle_loan_outstanding,0.0038294906
statement_open_rate,0.0038277537
subscription_cascade_score,0.003801566
max_dpd_last_12m,0.003769821
num_four_wheelers,0.0037436371
total_assets,0.0037338806
property_owned_count,0.0037252125
fd_rd_total,0.0037141135
months_of_runway,0.0036939941
ptc,0.003521599
gym_membership,0.003486845
hospital_visits_6m,0.0034861509
loan_restructuring_history,0.0032654223
financial_stress_index,0.0032119986
subscription_cascade_phase,0.0031647363
instant_cashouts_month,0.0030353705
residential_status,0.0028679054
customer_service_calls_30d,0.0027220873
cdps,0.0022777624
bonus_received_last_year,0.002145236
p2p_borrow_requests_30d,0.0014514566
gst_filing_regular,0.0
parent_income_stable,0.0
multi_platform_count,0.0
