feature,importance
dti_ratio,0.43461916
monthly_income,0.08014032
healthcare_spending_multiplier,0.061840322
subscription_cascade_phase,0.056326747
p2p_borrow_requests,0.040313683
instant_cashouts_month,0.0391267
salary_delay_days,0.035831977
credit_score,0.03375017
balance_trajectory_pct,0.03364479
merchant_downgrade_score,0.033112664
password_resets_30d,0.026448268
discretionary_spending_change_pct,0.02326942
statement_open_rate,0.019121874
app_login_duration_sec,0.018233726
cash_deposit_pattern_score,0.017242776
notification_dismissal_speed_sec,0.016254425
employer_health_score,0.015985247
age,0.014737772
