customer_id,Age,gender,MaritalStatus,Education,EmploymentType,MonthsEmployed,Income,CreditScore,num_dependents,HasDependents,city_tier,residential_status,years_at_current_address,mobile_stability_years,segment_category,detailed_segment,LoanID,LoanAmount,LoanTerm,InterestRate,LoanPurpose,emi,DTIRatio,NumCreditLines,HasCoSigner,HasMortgage,credit_inquiries_6m,oldest_credit_line_years,credit_utilization_ratio,credit_lines_per_year,loan_restructuring_history,settlement_history,moratorium_months_remaining,expense_housing,expense_food_groceries,expense_transportation,expense_healthcare,expense_education,expense_insurance_investments,expense_lifestyle_entertainment,expense_personal_care,expense_family_social,expense_communication,expense_discretionary_vices,total_monthly_expense,expense_to_income_ratio,healthcare_current_spend,healthcare_spending_multiplier,pharmacy_expense_monthly,hospital_visits_6m,health_insurance_coverage,dining_out_monthly,food_delivery_monthly,shopping_monthly,fuel_expense_monthly,cab_rides_monthly,cab_expense_monthly,ott_subscriptions_count,ott_monthly_spend,gym_membership,grocery_online_pct,ontime_payment_rate_12m,max_dpd_last_12m,num_dpd_30_plus,cheque_bounce_count_12m,partial_payment_count_12m,avg_delay_days,payment_channel,auto_debit_success_rate,manual_payment_pct,payment_day_consistency,salary_credit_day,salary_delay_days,salary_increment_pct_yoy,variable_pay_pct,bonus_received_last_year,app_login_frequency_month,app_login_duration_avg_sec,notification_dismiss_speed_sec,statement_open_rate,password_resets_30d,emi_calculator_usage_30d,loan_inquiry_page_visits,customer_service_calls_30d,subscription_cascade_phase,wallet_velocity,wallet_to_bank_frequency,instant_cashouts_month,p2p_borrow_requests_30d,cash_to_digital_ratio,peak_to_offpeak_ratio,discretionary_spending_change_pct,digital_engagement_score,balance_trajectory_pct,merchant_downgrade_score,savings_rate,savings_rate_pct,avg_monthly_balance_6m,min_balance_violations_6m,fd_rd_total,fd_rd_interest_monthly,mutual_fund_value,stock_portfolio_value,gold_value,epf_ppf_balance,property_owned_count,property_value_total,property_loan_outstanding,num_two_wheelers,num_four_wheelers,vehicle_age_years,vehicle_loan_outstanding,total_financial_assets,total_assets,total_outstanding_debt,total_debt_to_assets,asset_to_debt_ratio,net_worth,rental_income_monthly,monthly_pension,pf_contribution_regular,num_bank_accounts,employer_health_score,employer_stock_change_pct,peer_default_rate,industry_stress_index,customer_concentration_risk,cash_deposit_frequency_month,cash_deposit_avg_amount,cash_deposit_before_emi_days,cash_deposit_consistency_score,cash_sufficiency_ratio,monthly_revenue,profit_margin_pct,num_employees,gst_filing_regular,supplier_payment_delay_days,business_vintage_years,revenue_variance_cv,working_capital_days,multi_platform_count,platform_rating,platform_active_days_month,platform_daily_earning_avg,zero_income_days_month,income_cv_daily,institution_ranking,gpa,campus_placement_rate,expected_starting_salary,scholarship_amount_monthly,parent_income_monthly,parent_income_stable,family_transfer_monthly,Default,target,delinquency_prob,days_to_default,financial_stress_score,financial_stress_index,behavioral_risk_score,income_stability_index,emi_to_income_ratio,emi_to_savings_ratio,liquidity_ratio,financial_cushion_months,debt_service_coverage,months_of_runway,bounce_per_credit_line,loan_burden_score
CUST_000000,53,M,Married,Bachelor's,SALARIED_GOVT,40,53580.68,705,1,1,2,OWN,11,14.1,SALARIED_GOVT,SALARIED_GOVT_2,LN_428947,2684792.66,240,15.16,Home,35662.81,66.56,1,1,0,1,24.4,56.39,0.04,0,0,0,10103.27,6630.28,7361.08,535.81,4478.42,3514.03,1926.55,2515.8,2543.07,905.95,1352.21,41866.47,0.781,535.81,1.0,1142.61,0,0,3829.09,0.0,912.21,2759.04,8,1459.36,2,214.09,1,50.8,0.728,0,0,1,0,2.6,CASH,0.0,0.719,0.566,1,6,13.8,0.0,0,11,10.64,8.38,0.803,1,0,0,0,3,6.5,2,1,0,0.47,1.11,10.1,77.4,0.43,0,22.19,22.19,91518.34,1,0.0,0.0,539723.96,108362.52,114265.59,547309.59,0,0.0,0.0,1,1,4.4,0.0,1195396.06,1309661.66,2684792.66,2.05,0.4878,-1375131.0,0.0,0.0,0,1,46.2,1.79,0.0448,27.1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,2904.64,0,0,0.6168,,40.8,40.8,19.9,69.6,66.56,38.97,2.566,28.6,1.502,2.2,1.0,51.7
CUST_000001,26,M,Married,High School,SALARIED_PRIVATE,47,73904.0,803,3,1,3,OWN,5,10.6,SALARIED_PRIVATE,SALARIED_PRIVATE_3,LN_207512,311954.99,48,13.3,DebtConsolidation,8414.77,11.39,3,0,0,3,5.6,34.01,0.54,0,0,0,22858.45,12045.92,7645.72,1127.85,767.59,4466.67,6790.25,2494.81,3468.24,1076.03,4949.17,67690.7,0.916,1127.85,1.0,1681.03,0,1,3016.88,1657.35,566.29,4074.02,3,2260.08,3,789.01,0,49.7,0.859,0,1,1,0,6.6,UPI,0.0,0.619,0.75,7,0,3.7,14.9,1,9,38.57,4.19,0.34,0,0,0,0,1,3.99,1,1,0,0.05,1.34,-23.27,52.1,-2.1,-1,13.56,13.56,106721.45,1,405663.54,2028.32,0.0,1034784.63,0.0,732159.7,0,0.0,0.0,0,0,6.4,0.0,2172607.87,2172607.87,311954.99,0.1436,6.9645,1860652.88,0.0,0.0,1,3,83.9,11.68,0.0439,18.9,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0038,,10.6,10.6,22.0,90.0,11.39,7.88,12.683,32.1,8.783,1.6,0.333,19.0
CUST_000002,31,F,Single,Master's,SALARIED_PRIVATE,38,50543.08,717,1,1,1,PG,0,14.3,SALARIED_PRIVATE,SALARIED_PRIVATE_1,LN_456902,1868944.08,48,14.08,Business,51147.78,101.2,4,1,1,0,21.5,17.68,0.19,0,0,1,19236.34,3967.27,3376.21,17231.07,4712.55,1075.7,6395.04,1524.05,1029.55,1197.71,3334.42,48002.72,0.95,17231.07,8.0,1019.83,0,0,2898.93,3128.06,3453.97,2093.56,5,763.97,0,119.79,0,78.2,0.748,0,1,1,0,0.4,WALLET,0.0,0.157,0.738,7,0,-0.9,2.8,0,12,26.66,3.1,0.746,0,0,0,1,1,2.9,3,0,0,0.3,1.38,20.37,66.6,-1.33,0,16.47,16.47,145187.1,0,10495.91,52.48,0.0,20610.4,119264.41,313596.45,0,0.0,0.0,2,0,5.9,0.0,344702.76,463967.17,1868944.08,4.0282,0.2483,-1404976.91,0.0,0.0,1,2,79.8,-4.62,0.0786,40.4,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,796.34,1,1,0.8414,39.0,63.2,63.2,8.1,62.1,101.2,35.23,2.839,7.2,0.988,3.0,0.25,53.3
CUST_000003,45,M,Single,Bachelor's,BUSINESS_OWNER,145,46165.82,735,5,1,3,OWN,5,7.1,BUSINESS_OWNER,BUSINESS_OWNER_3,LN_578007,200137.83,36,11.11,Personal,6562.28,14.21,3,0,0,2,20.4,12.02,0.15,0,0,1,16995.15,6754.96,3302.4,2119.45,788.49,2623.07,3533.69,1575.85,2103.98,230.83,1521.68,41549.55,0.9,2119.45,1.0,1504.19,2,1,2056.38,539.14,2715.24,2680.44,4,1611.55,3,965.35,0,19.2,1.0,0,0,0,0,1.3,NET_BANKING,0.0,0.874,0.757,0,0,0.0,0.0,0,6,25.18,11.04,0.595,0,1,0,0,4,5.99,2,0,0,0.13,1.35,11.21,68.9,0.09,4,9.45,9.45,71710.13,0,189155.89,945.78,222447.89,1645.16,123674.03,72655.23,0,0.0,0.0,1,0,9.6,0.0,485904.17,609578.2,200137.83,0.3283,3.0458,409440.37,0.0,0.0,0,2,40.8,8.81,0.0462,21.4,0.506,1,37771.03,7,50.2,2.43,190183.55,17.0,4,1,4,17.3,0.107,81,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1105.68,0,0,0.0777,,11.8,11.8,23.1,94.9,14.21,9.15,10.928,11.7,7.035,1.7,0.0,9.3
CUST_000004,44,M,Single,Master's,SELF_EMPLOYED,59,112643.22,577,2,1,1,PG,5,5.8,SELF_EMPLOYED,SELF_EMPLOYED_1,LN_101917,594302.78,12,11.86,Personal,52765.0,46.84,8,0,0,1,18.5,59.54,0.43,0,0,0,12574.77,23890.02,15996.61,1126.43,900.42,6149.56,6386.51,3820.14,4344.26,1330.25,11112.5,87631.46,0.778,1126.43,1.0,1871.61,1,1,1389.91,382.34,3367.02,3029.74,5,741.0,2,295.78,0,80.1,0.775,0,1,0,0,2.4,UPI,0.0,0.451,0.626,0,0,0.0,0.0,0,9,5.47,2.43,0.624,1,2,1,0,1,7.3,2,1,1,0.58,1.05,40.03,50.9,10.99,-1,12.22,12.22,210068.31,1,1208424.77,6042.12,1143219.54,387508.15,448237.8,514247.71,0,0.0,0.0,1,1,1.7,236784.9,3253400.17,3701637.97,831087.68,0.2245,4.454,2870550.29,0.0,0.0,0,2,61.0,11.64,0.1422,22.6,0.0,3,1248.9,5,98.3,1.63,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,251.6,0,0,0.1894,,24.4,24.4,16.0,73.8,46.84,25.12,3.981,37.1,2.135,2.4,0.0,43.3
CUST_000005,42,M,Divorced,Bachelor's,SALARIED_GOVT,114,52136.33,690,0,0,1,RENT,10,9.7,SALARIED_GOVT,SALARIED_GOVT_1,LN_688365,3475009.33,84,10.83,Home,59186.42,113.52,3,0,1,1,22.5,7.58,0.13,0,0,2,8416.45,2606.82,2230.43,857.61,2925.42,2909.04,3639.49,1446.88,2635.77,1390.26,1053.35,30111.53,0.578,857.61,1.0,2248.54,0,1,3525.87,2149.5,741.9,1713.22,2,1591.5,1,713.29,0,64.7,0.874,0,0,0,0,1.7,UPI,0.0,0.35,0.575,5,0,3.9,0.0,1,12,199.89,0.83,0.662,0,0,0,1,2,5.56,2,0,0,0.5,1.04,4.34,59.0,-1.74,-1,19.29,19.29,56487.32,0,292200.59,1461.0,1135933.52,517760.21,196627.71,694429.21,0,0.0,0.0,0,2,2.2,127499.41,2640323.53,2836951.23,3602508.74,1.2699,0.7875,-765557.51,0.0,0.0,0,3,93.1,6.33,0.1286,28.1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,2850.67,0,0,0.2444,,49.3,49.3,14.8,68.0,113.52,104.78,0.954,87.7,0.881,1.9,0.0,51.5
CUST_000006,41,M,Married,Bachelor's,SALARIED_GOVT,155,89477.03,720,1,1,3,FAMILY,16,3.2,SALARIED_GOVT,SALARIED_GOVT_3,LN_442703,412338.48,120,13.03,Personal,6163.09,6.89,5,0,0,1,17.8,47.87,0.28,0,0,1,30451.32,13061.79,5908.75,5165.54,701.97,5370.47,3427.02,4399.49,3111.96,1886.16,6476.09,79960.56,0.894,5165.54,1.0,200.0,0,0,2320.46,2300.67,3164.57,4098.22,10,0.0,3,0.0,0,45.7,0.695,0,0,2,0,0.0,CASH,0.0,0.59,0.624,15,0,7.5,0.0,0,6,34.59,6.11,0.511,0,0,0,2,1,6.41,1,2,0,0.27,0.67,-1.04,56.6,1.12,0,13.84,13.84,92553.47,0,231418.37,1157.09,589408.43,403599.08,416354.81,567677.0,0,0.0,0.0,1,1,6.5,0.0,1792102.88,2208457.68,412338.48,0.1867,5.3559,1796119.2,0.0,0.0,0,2,75.5,-1.03,0.1257,15.7,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0309,,17.3,17.3,22.0,89.4,6.89,6.66,15.017,22.4,14.518,1.2,0.4,26.3
CUST_000007,64,M,Single,Master's,RETIRED,385,41672.68,762,0,0,2,OWN,12,9.4,RETIRED,RETIRED_2,LN_426032,57015.42,60,13.37,Other,1307.97,3.14,3,0,0,2,23.3,27.98,0.13,0,0,0,17153.82,4709.27,1202.15,2819.49,3504.6,1702.77,3145.47,484.49,1741.04,1222.15,1822.01,39507.25,0.948,2819.49,1.0,2201.68,1,1,0.0,990.0,5326.97,1106.0,6,864.86,0,355.47,1,93.7,0.926,0,0,0,0,0.1,NET_BANKING,0.0,0.673,0.583,0,0,0.0,0.0,0,7,159.22,3.56,0.775,1,1,0,0,1,4.03,1,0,0,0.31,1.51,1.37,60.9,-10.85,-2,19.35,19.35,106370.52,0,308693.06,1543.47,366581.41,521261.93,297936.12,80480.63,2,9444510.68,5368356.93,1,1,7.3,0.0,1277017.02,11019463.81,5425372.35,0.4923,2.0311,5594091.46,0.0,42247.08,0,3,92.6,-2.64,0.0491,23.1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1105.09,0,0,0.0153,,9.3,9.3,7.5,92.7,3.14,1.23,81.325,32.3,31.861,2.7,0.0,11.9
CUST_000008,56,F,Married,Bachelor's,BUSINESS_OWNER,27,8000.0,762,2,1,3,PG,2,1.7,BUSINESS_OWNER,BUSINESS_OWNER_3,LN_389102,80167.18,36,7.97,Education,2511.04,31.39,5,0,0,2,13.1,29.78,0.38,0,0,0,1182.58,580.49,939.12,299.71,579.83,285.23,1170.24,55.15,98.31,252.44,0.0,5443.09,0.68,299.71,1.0,1802.86,0,1,3932.08,18.8,6623.38,3827.09,3,2573.41,1,961.28,0,50.9,1.0,0,0,0,0,0.0,UPI,0.0,0.718,0.812,0,0,0.0,0.0,0,11,25.6,3.42,0.816,0,0,0,0,1,10.92,0,0,1,0.27,1.24,-25.11,67.8,7.28,-4,6.14,6.14,20043.42,0,24934.71,124.67,87226.83,64207.71,0.0,65134.86,0,0.0,0.0,0,1,10.4,0.0,241504.11,241504.11,80167.18,0.3319,3.0125,161336.93,0.0,0.0,0,1,84.3,3.13,0.0875,35.1,0.082,4,28092.86,2,84.4,1.45,34318.05,15.9,3,1,5,6.5,0.275,92,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.022,,7.7,7.7,12.5,100.0,31.39,12.53,7.982,44.4,3.186,3.7,0.0,21.5
CUST_000009,35,F,Divorced,Master's,GIG_WORKER,3,31344.12,648,0,0,2,RENT,13,10.9,GIG_WORKER,GIG_WORKER_2,LN_524226,50000.0,12,13.4,Other,4475.19,14.28,3,0,0,0,12.4,55.62,0.24,0,0,2,5068.75,3150.67,3392.16,637.86,1355.98,1912.02,1293.45,989.87,417.49,476.09,2181.35,20875.68,0.666,637.86,1.0,2617.93,0,1,1909.83,1924.77,3278.43,4309.23,4,1507.18,3,417.4,0,40.3,0.745,0,0,1,0,3.1,CASH,0.0,0.453,0.578,0,0,0.0,0.0,0,9,26.21,2.59,0.725,0,0,0,1,1,9.35,0,1,0,0.2,0.9,-1.44,57.8,-7.3,0,-0.45,-0.45,73059.39,1,292569.65,1462.85,481634.19,0.0,251308.29,230225.54,0,0.0,0.0,2,0,8.3,0.0,1004429.37,1255737.66,50000.0,0.0398,25.1148,1205737.66,0.0,0.0,0,1,64.8,-5.32,0.0946,48.5,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,4,3.0,28,725.25,5,0.338,0,0.0,0.0,0.0,0.0,0.0,0,2676.03,0,0,0.0579,,17.9,17.9,11.9,91.1,14.28,6.13,16.325,48.1,7.004,3.5,0.333,30.0
